Transaction Date,Post Date,Description,Category,Type,Amount
07/09/2019,07/10/2019,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-17.99
07/08/2019,07/10/2019,TULALIP/QUIL CEDA LIQUOR,Food & Drink,Sale,-3.02
07/09/2019,07/10/2019,ITTOS TAPPAS,Food & Drink,Sale,-106.18
07/08/2019,07/09/2019,CLIPPER FERRY SVC VCI,Food & Drink,Sale,-240.35
07/07/2019,07/09/2019,TAQUERIA CANTINA,Food & Drink,Sale,-19.15
07/08/2019,07/09/2019,CLIPPER FERRY SVC VCI,Food & Drink,Sale,-18.77
07/08/2019,07/09/2019,CHEVRON 0370013,Gas,Sale,-41.08
07/07/2019,07/09/2019,TAQUERIA CANTINA,Food & Drink,Sale,-14.53
07/08/2019,07/09/2019,SQ *KANISHKA INDIAN CUISI,Food & Drink,Sale,-17.15
07/07/2019,07/09/2019,FRANKIES MODERN DINER,Food & Drink,Sale,-48.78
07/05/2019,07/08/2019,WEEDS CAFE,Food & Drink,Sale,-13.35
07/07/2019,07/08/2019,JAK'S GRILL ISSAQUAH,Food & Drink,Sale,-138.87
07/06/2019,07/08/2019,SHORELINE WATERCRAFT &amp;,Entertainment,Sale,-492.31
07/06/2019,07/08/2019,LOCAL MYTH PIZZA,Food & Drink,Sale,-40.19
07/07/2019,07/08/2019,BUTCHART GARDENS COFFE,Entertainment,Sale,-6.85
07/07/2019,07/08/2019,ANNABELLES CAFE,Entertainment,Sale,-11.32
07/04/2019,07/07/2019,ALASKAN SOURDOUGH BAKERY,Food & Drink,Sale,-4.85
07/04/2019,07/07/2019,UW COMMUTER SVCS PAY STAT,Travel,Sale,-4.00
07/05/2019,07/07/2019,24 Hour Fitness USA  I,Health & Wellness,Sale,-45.98
07/04/2019,07/07/2019,PIKE PLACE BAKERY,Food & Drink,Sale,-5.00
07/05/2019,07/07/2019,MCGLINNS PUBLIC HOUSE,Food & Drink,Sale,-59.57
07/05/2019,07/07/2019,SMALLWOODS HARVEST LLC,Groceries,Sale,-15.86
07/06/2019,07/07/2019,SQ *JET SKIS AHOY,Entertainment,Sale,-68.10
07/06/2019,07/07/2019,SQ *JET SKIS AHOY,Entertainment,Sale,-35.70
07/05/2019,07/07/2019,SQ *MUNCHEN HAUS,Food & Drink,Sale,-33.66
07/04/2019,07/07/2019,SPACE NEEDLE TICKETS,Entertainment,Sale,-275.66
07/04/2019,07/05/2019,DOUGH ZONE,Food & Drink,Sale,-50.89
07/04/2019,07/05/2019,SQ *THE BUBBLE TEA SHOP,Groceries,Sale,-7.00
07/04/2019,07/05/2019,SEATTLE GREAT WHEEL,Entertainment,Sale,-32.23
07/03/2019,07/05/2019,WOODBLOCK,Food & Drink,Sale,-41.65
07/05/2019,07/05/2019,TANOOR LEBANESE GRILL,Food & Drink,Sale,-293.20
07/04/2019,07/04/2019,UBER   *TRIP,Travel,Sale,-24.95
07/02/2019,07/04/2019,SAFEWAY #0464,Groceries,Sale,-5.49
07/04/2019,07/04/2019,WAVE,Bills & Utilities,Sale,-76.17
07/04/2019,07/04/2019,UBER   *TRIP,Travel,Sale,-37.04
07/02/2019,07/04/2019,MS CAFE 50    19097476,Food & Drink,Sale,-9.02
07/04/2019,07/04/2019,UBER   *TRIP,Travel,Sale,-3.74
07/02/2019,07/04/2019,MS CAFE 50    19097476,Food & Drink,Sale,-0.83
07/01/2019,07/03/2019,QFC 5820,Groceries,Sale,-11.47
06/29/2019,07/03/2019,WAL-MART #2594,Shopping,Sale,-154.45
07/01/2019,07/03/2019,MS CAFE 50    19097476,Food & Drink,Sale,-10.99
07/01/2019,07/03/2019,FIVE GUYS WA 1837 QSR,Food & Drink,Sale,-12.96
07/01/2019,07/03/2019,MARKET   50   91304154,Food & Drink,Sale,-8.75
06/29/2019,07/03/2019,WAL-MART #2594,Shopping,Sale,-22.33
07/01/2019,07/03/2019,TARGET        00009951,Shopping,Sale,-38.48
07/01/2019,07/02/2019,24 Hour Fitness USA  I,Health & Wellness,Sale,-45.98
06/30/2019,07/01/2019,OLD NAVY US 5655,Shopping,Sale,-77.97
06/30/2019,07/01/2019,CROSSROADS BARBER SHOP,Personal,Sale,-23.00
06/30/2019,07/01/2019,WAL-MART #3098,Groceries,Sale,-47.18
06/30/2019,07/01/2019,OLD NAVY US 5655,Shopping,Sale,-36.10
06/29/2019,07/01/2019,IL TERRAZZO CARMINE,Food & Drink,Sale,-108.63
06/30/2019,07/01/2019,TST* TIPSY COW BURGER BAR,Food & Drink,Sale,-44.85
06/29/2019,07/01/2019,CHICK-FIL-A #03801,Food & Drink,Sale,-33.02
06/29/2019,06/30/2019,Rebtel,Bills & Utilities,Sale,-20.00
06/29/2019,06/30/2019,COSTCO GAS #0008,Gas,Sale,-38.56
06/29/2019,06/30/2019,COSTCO WHSE #0008,Shopping,Sale,-177.85
06/30/2019,06/30/2019,Payment Thank You - Web,,Payment,4862.39
06/28/2019,06/30/2019,PANERA BREAD #202250 K,Food & Drink,Sale,-14.50
06/25/2019,06/27/2019,MS CAFE 50    19097476,Food & Drink,Sale,-9.02
06/25/2019,06/26/2019,DIAMOND PARKING PS11,Travel,Sale,-30.00
06/24/2019,06/26/2019,IMPARK00250058U,Travel,Sale,-34.00
06/22/2019,06/24/2019,CIAO BELLA,Food & Drink,Sale,-56.52
06/23/2019,06/24/2019,LEETCODE.COM,Shopping,Sale,-35.00
06/23/2019,06/24/2019,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-184.01
06/22/2019,06/24/2019,DOWNRIGGERS RESTAURANT,Food & Drink,Sale,-80.14
06/24/2019,06/24/2019,AMZN Mktp US*MH6X21FM1,Shopping,Sale,-9.60
06/22/2019,06/24/2019,SUSIE'S MOPED RENTALS,Entertainment,Sale,-173.28
06/22/2019,06/24/2019,WSF GALLEY SAMISH 77881,Food & Drink,Sale,-11.39
06/22/2019,06/24/2019,SHELL OIL 57441816105,Gas,Sale,-3.31
06/22/2019,06/24/2019,WSFERRIES-ANACORTES,Travel,Sale,-27.50
06/22/2019,06/23/2019,FARMER BROWN SFO ARPRT,Food & Drink,Sale,-22.80
06/21/2019,06/23/2019,TST* LUCKY LOUIE FISH SHA,Food & Drink,Sale,-18.00
06/20/2019,06/23/2019,SEA PEET'S COFFEE SS-2,Food & Drink,Sale,-6.48
06/21/2019,06/23/2019,FISH AND FARM,Food & Drink,Sale,-23.23
06/22/2019,06/23/2019,LYFT   *RIDE FRI 5PM,Travel,Sale,-42.85
06/21/2019,06/23/2019,WWW COSTCO COM,Shopping,Sale,-82.49
06/20/2019,06/23/2019,LOLINDA,Food & Drink,Sale,-60.69
06/23/2019,06/23/2019,YO FRIDAY HARBOR,Food & Drink,Sale,-10.90
06/21/2019,06/23/2019,LYFT   *RIDE THU 10PM,Travel,Sale,-12.93
06/21/2019,06/23/2019,ROSS STORES #1424,Shopping,Sale,-21.97
06/21/2019,06/23/2019,LYFT   *RIDE FRI 8AM,Travel,Sale,-7.08
06/21/2019,06/23/2019,LYFT   *RIDE THU 9PM,Travel,Sale,-16.34
06/20/2019,06/21/2019,IPM FGI CP,Travel,Sale,-16.00
06/20/2019,06/21/2019,PARK N JET,Travel,Sale,-22.21
06/20/2019,06/21/2019,PANERA BREAD #202250,Food & Drink,Sale,-20.32
06/21/2019,06/21/2019,LYFT   *RIDE THU 6PM,Travel,Sale,-36.72
06/19/2019,06/20/2019,TST* MEG S,Food & Drink,Sale,-4.55
06/19/2019,06/20/2019,CHEVRON 0098795,Gas,Sale,-10.05
06/18/2019,06/20/2019,WALLYPARK- VALET LOT SEAT,Travel,Sale,-26.53
06/19/2019,06/20/2019,SQ *BISCUIT BITCH PIONEER,Food & Drink,Sale,-18.49
06/18/2019,06/19/2019,SQ *KANISHKA INDIAN CUISI,Food & Drink,Sale,-32.87
06/18/2019,06/19/2019,CONSUMERREPORTS.ORG,Bills & Utilities,Sale,-8.75
06/18/2019,06/19/2019,Redmond Modern Dentistry,Health & Wellness,Sale,-200.00
06/18/2019,06/19/2019,CHIPOTLE 1364,Food & Drink,Sale,-9.08
06/17/2019,06/19/2019,LAX AIRP ASHLAND HILL T3,Food & Drink,Sale,-26.27
06/17/2019,06/18/2019,LYFT   *RIDE MON 3PM,Travel,Sale,-7.18
06/17/2019,06/18/2019,LYFT   *RIDE SUN 9PM,Travel,Sale,-23.77
06/16/2019,06/18/2019,TAPROOM SEA,Food & Drink,Sale,-21.90
06/16/2019,06/18/2019,HOLLYWOOD ROOSEVELT HOTEL,Food & Drink,Sale,-35.57
06/17/2019,06/18/2019,SQ *PHILZ COFFEE,Food & Drink,Sale,-10.70
06/16/2019,06/18/2019,ROSS STORES #1424,Shopping,Sale,-105.55
06/17/2019,06/18/2019,BUILT CUSTOM BURGER -,Food & Drink,Sale,-19.15
06/18/2019,06/18/2019,LYFT   *RIDE MON 4PM,Travel,Sale,-33.41
06/17/2019,06/18/2019,LYFT   *RIDE MON 9AM,Travel,Sale,-12.24
06/16/2019,06/17/2019,LYFT   *RIDE SUN 4PM,Travel,Sale,-13.18
06/15/2019,06/17/2019,QFC 5820,Groceries,Sale,-41.73
06/16/2019,06/17/2019,GROUPON INC,Personal,Sale,-11.99
06/16/2019,06/17/2019,LYFT   *RIDE SUN 2PM,Travel,Sale,-28.19
06/17/2019,06/17/2019,LYFT   *RIDE SUN 5PM,Travel,Sale,-56.44
06/14/2019,06/16/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.79
06/16/2019,06/16/2019,Prime Video*M64PR6HA2,Shopping,Sale,-9.89
06/15/2019,06/16/2019,COSTCO WHSE #1225,Shopping,Sale,-292.38
06/16/2019,06/16/2019,SENOR TACO,Food & Drink,Sale,-5.39
06/15/2019,06/16/2019,7-ELEVEN 14402,Gas,Sale,-7.62
06/16/2019,06/16/2019,SENOR TACO,Food & Drink,Sale,-24.63
06/14/2019,06/16/2019,CLIPPER VACATIONS,Travel,Sale,-1102.50
06/14/2019,06/16/2019,QFC 5820,Groceries,Sale,-4.99
06/13/2019,06/16/2019,MS CAFE 50    19097476,Food & Drink,Sale,-8.79
06/12/2019,06/14/2019,BELLEVUE GUN CLUB,Health & Wellness,Sale,-25.29
06/12/2019,06/14/2019,BELLEVUE GUN CLUB,Health & Wellness,Sale,-17.59
06/12/2019,06/14/2019,BELLEVUE GUN CLUB,Health & Wellness,Sale,-78.40
06/13/2019,06/14/2019,PANERA BREAD #202250 K,Food & Drink,Sale,-14.38
06/12/2019,06/14/2019,MS CAFE 50    19097476,Food & Drink,Sale,-6.71
