Type,Trans Date,Post Date,Description,Amount,
Sale,8/27/2018,8/28/2018,Amazon.com,-22.88,
Sale,8/26/2018,8/27/2018,QFC 5820,-3.86,
Sale,8/25/2018,8/26/2018,WAL-MART #3098,-13.4,
Sale,8/25/2018,8/27/2018,SAFEWAY #0464,-14.2,
Sale,8/25/2018,8/26/2018,QFC 5820,-43.19,
Sale,8/24/2018,8/27/2018,GYRO TO GO,-9.06,
Sale,8/23/2018,8/24/2018,TMOBILE*AUTO PAY,-168.76,
Sale,8/23/2018,8/26/2018,TACO BELL 031340,-8.78,
Sale,8/22/2018,8/22/2018,SENOR TACO,-10.08,
Sale,8/21/2018,8/22/2018,WM SUPERCENTER #3098,-15.96,
Sale,8/20/2018,8/21/2018,TST* HOMEGROWN 1007,-13.15,
Sale,8/20/2018,8/22/2018,SDOT PAYBYPHONE PARKING,-4,
Sale,8/19/2018,8/20/2018,DOLLARTREE,-4.45,
Sale,8/19/2018,8/20/2018,QFC 5820,-42.97,
Sale,8/19/2018,8/20/2018,COSTCO WHSE #1225,-38.76,
Sale,8/19/2018,8/20/2018,UBER   *TRIP BHPGN,-39.52,
Sale,8/18/2018,8/19/2018,G-MIAMI FOOD AIRPORT,-13.32,
Sale,8/18/2018,8/19/2018,JUAN VALDEZ CAFE 93 AC,-7.04,
Sale,8/18/2018,8/19/2018,EINSTEIN BRO BAGELS 6229,-13.35,
Sale,8/10/2018,8/10/2018,SQ *GREAT AMERICAN BAGEL,-15.96,
Sale,8/10/2018,8/12/2018,BURGER KING #8633,-8.53,
Sale,8/10/2018,8/13/2018,CHARLOTTE 2076A,-5.35,
Sale,8/10/2018,8/10/2018,UBER   *TRIP 6WINI,-16.54,
Sale,8/10/2018,8/10/2018,UBER   *TRIP 6WINI,-3,
Sale,8/9/2018,8/12/2018,THE HOME DEPOT 4723,-6.58,
Sale,8/9/2018,8/9/2018,GOOGLE *YouTube Premiu,-11.99,
Sale,8/9/2018,8/12/2018,AMERICAN AIR0010264727357,-25,
Sale,8/9/2018,8/12/2018,SBC-CONCOURSE D Q02,-3.51,
Sale,8/8/2018,8/10/2018,PHO HOA  JAZEN TEA,-14.81,
Sale,8/8/2018,8/9/2018,Rebtel,-10,
Sale,8/8/2018,8/10/2018,THE HOME DEPOT 4723,-39.51,
Sale,8/8/2018,8/9/2018,Rebtel,-10,
Sale,8/7/2018,8/7/2018,SENOR TACO,-12.28,
Sale,8/7/2018,8/9/2018,MS CAFE 50    19097476,-0.75,
Sale,8/6/2018,8/7/2018,Rebtel,-10,
Sale,8/6/2018,8/7/2018,WAL-MART #3098,-23.94,
Sale,8/6/2018,8/7/2018,Rebtel,-10,
Sale,8/5/2018,8/7/2018,TORERO'S,-14.42,
Sale,8/5/2018,8/6/2018,24HOUR FITNESS USA,-43.79,
Sale,8/5/2018,8/6/2018,COSTCO GAS #1225,-34.04,
Sale,8/5/2018,8/6/2018,QFC 5820,-33.73,
Sale,8/5/2018,8/6/2018,MOD PIZZA REDMOND 8 BM,-9.1,
Sale,8/5/2018,8/7/2018,BAI TONG,-23.13,
Sale,8/4/2018,8/6/2018,SHELL OIL 10005968002,-2.2,
Sale,8/4/2018,8/5/2018,MARTINS MARKETPLACE,-7.84,
Sale,8/4/2018,8/6/2018,VIADOLCE GELATO,-4.4,
Sale,8/3/2018,8/5/2018,COSTCO GAS #1225,-7.73,
Sale,8/3/2018,8/5/2018,Rebtel,-10,
Sale,8/3/2018,8/3/2018,WAVE,-70,
Sale,8/2/2018,8/5/2018,TACO BELL 031340,-8.99,
Sale,8/1/2018,8/3/2018,THAI 65 CAFE,-15.25,
Sale,8/1/2018,8/2/2018,Rebtel,-10,
Sale,8/1/2018,8/2/2018,Rebtel,-10,
Sale,7/31/2018,8/2/2018,TARGET        00009951,-21.63,
Sale,7/31/2018,8/1/2018,WAL-MART #3098,-15.96,
Sale,7/30/2018,7/31/2018,PUGET SOUND ENERGY,-43.89,
Sale,7/30/2018,7/31/2018,COSTCO GAS #1225,-48.34,
